TAG,COMMON_NAM,GENUS,SPECIES,UPDATED,CULTIVAR,VAR,FORMA,SUBSP,SHYBRID,CONDITION,SIGNIFICANT,HAZARDS,DBH,NOTES,LAT,LONG
5427,"Cherry, Japanese flowering",Prunus,serrulata,,,,,,,G,,,,,49.26043185743265,-123.25049177463117
6173,,,,20060101,,,,,,,,,,,49.27090188515124,-123.25586957233618
8532,,Acer,palmatum,20100316,,,,,,,,,,,49.26745108899878,-123.26206874545896
8673,,Thuja,plicata,20100316,,,,,,,,,,,49.26714728976111,-123.2603647850227
8752,,Acer,macrophyllum,20100316,,,,,,,,,,,49.26818231648761,-123.26067119265291
9190,,Thuja,plicata,20100316,,,,,,,,,,,49.26572068409807,-123.25859478733217
9199,,Thuja,plicata,20100316,,,,,,,,,,,49.2656003834509,-123.25854514879354
9234,,Thuja,plicata,20100316,,,,,,,,,,,49.264908981280264,-123.25809103846738
9049,,Acer,palmatum,20100316,,,,,,,,,,,49.26360770998145,-123.25691570459944
9041,,Thuja,plicata,20100316,,,,,,,,,,,49.263730813177375,-123.25701153656108
6932,,Thuja,plicata,20100316,,,,,,,,,,,49.26699130606202,-123.25820603753527
7152,Maple,Acer,,,,,,,,G,,,,,49.25493843957926,-123.23951317738266
6246,,,,20060101,,,,,,,,,,,49.27118332030269,-123.2583695576032
7146,Maple,Acer,,,,,,,,G,,,,,49.25513384423434,-123.23891822584014
5873,,,,,,,,,,,,Tag/Nail in Tree,,,49.26677726365574,-123.25420316012118
3177,"Pine, Austrian",Pinus,nigra,,,,,,,G,,,,,49.262747479555806,-123.24773036077363
3443,"Pine, Austrian",Pinus,nigra,,,,,,,G,,,,,49.264315946895636,-123.24963972246196
5945,Linden,Tilia,,,,,,,,G,Class Tree - 1919,,,,49.266609697583554,-123.25611539413174
3074,"Pine, Austrian",Pinus,nigra,,,,,,,G,,,,,49.26447260189142,-123.24862862857846
4535,"Pine, Austrian",Pinus,nigra,,,,,,,G,,Tag/Nail in Tree,,,49.26513358156121,-123.2600205322798
136,"Pine, Austrian",Pinus,nigra,,,,,,,G,,,,,49.26785934650587,-123.25673714877595
7760,"Pine, Austrian",Pinus,nigra,,,,,,,G,,,,,49.264380387660495,-123.25283293831609
9879,,Acer,platanoides,20100316,,,,,,,,,,,49.269514812670934,-123.24790513028441
9123,,Thuja,plicata,20100316,,,,,,,,,,,49.26380139388844,-123.25933283746
6921,,Thuja,plicata,20100316,,,,,,,,,,,49.26710846606941,-123.25821888525688
6915,,Acer,palmatum,20100316,,,,,,,,,,,49.267118758492146,-123.25831461669199
8510,,Acer,palmatum,20100316,,,,,,,,,,,49.26646582326204,-123.25892977319687
6902,,Thuja,plicata,20100316,,,,,,,,,,,49.26739118016817,-123.25862991209605
6898,,Thuja,plicata,20100316,,,,,,,,,,,49.26741478831185,-123.25863624717486
8511,,Thuja,plicata,20100316,,,,,,,,,,,49.267637317518414,-123.25872571998416
8167,,Thuja,plicata,20100316,,,,,,,,,,,49.26772256707272,-123.25846039105093
8154,,Thuja,plicata,20100316,,,,,,,,,,,49.26753643903399,-123.25841415823523
6490,Hinoki Cypress,Chamaecyparis,obtusa,20100316,,,,,,,,,,,49.27163008516301,-123.25796777001378
6865,,Thuja,plicata,20100316,,,,,,,,,,,49.267286344613275,-123.25896683660035
5467,Sweet Gum,Liquidambar,styraciflua,,,,,,,G,,,,,49.25936649082213,-123.25001103906051
65,Tulip Tree,Liriodendron,tulipifera,,,,,,,G,,,,,49.268773502692596,-123.25654113083927
1427,"Cedar, Deodar",Cedrus,deodara,,,,,,,G,,,,,49.261696902605586,-123.2372316611905
4588,"Stewartia, Japanese",Stewartia,pseudocamellia,,,,,,,S,,,,,49.26553714442324,-123.25916626523279
2952,"Maple, red",Acer,rubrum,,,,,,,G,,,,,49.264331453519986,-123.24477938118137
7711,"Elm, white",Ulmus,laevis,,,,,,,G,,,,,49.26435430680413,-123.25361487028638
458,"Cedar, Western red",Thuja,plicata,,,,,,,G,,Tag/Nail in Tree,,,49.262311881105745,-123.2388672449716
4152,"Cypress, Sawara",Chamaecyparis,pisifera,,,,,,,G,,,,,49.262537934950224,-123.2535649087746
5683,"Cedar, Western red",Thuja,plicata,,,,,,,G,,,,,49.268715928012995,-123.25530001417724
7030,Douglas Fir,Pseudotsuga,menziesii,,,,,,,F,,Inaccessable Tags,,,49.256383871045976,-123.24380214136221
85,"Oak, red",Quercus,rubra,,,,,,,G,,,,,49.26819516242849,-123.25535805931769
999958,Halka Honey Locust,Gleditsia,triacanthos,,Halka,,,,,,,,,,49.26217502766902,-123.25620171953688
4947,"Cypress, Threadleaf",Chamaecyparis,pisifera,,Filifera,,,,,G,,,,,49.26216983690465,-123.25747297022032
8047,"Cedar, Western red",Thuja,plicata,,,,,,,G,,Tag/Nail in Tree,,,49.27023515817739,-123.25533183154717
7319,"Hemlock, Western",Tsuga,heterophylla,,,,,,,G,,,,,49.25925170323817,-123.2378922294556
2535,"Oak, Pin",Quercus,palustris,,,,,,,G,,,,,49.26784325298883,-123.25098710291445
2002,"Cherry, Bitter",Prunus,emarginata,,,,,,,P,,,,,49.27220155130277,-123.24847819489531
2455,"Pine, Austrian",Pinus,nigra,,,,,,,G,,,,,49.268557550102436,-123.25058089167588
806,"Cherry, Japanese flowering",Prunus,serrulata,,,,,,,G,,,,,49.266049056612125,-123.24387270360837
4414,"Maple, Norway",Acer,platanoides,,,,,,,G,,,,,49.25886784163687,-123.25310210349687
5696,"Cedar, Western red",Thuja,plicata,,,,,,,G,,,,,49.26904914649519,-123.25527111951145
5731,"Cedar, Western red",Thuja,plicata,,,,,,,G,,,,,49.26880485284911,-123.25515382156688
3481,"Plane Tree, London",Platanus,acerifolia,,,,,,x,G,,,,,49.26420496454044,-123.24898536901821
2067,"Alder, red",Alnus,rubra,,,,,,,G,,,,,49.27281361056634,-123.24913130109216
5464,"Beech, European 'Fastigiate'",Fagus,sylvatica,,fastigiata,,,,,G,,,,,49.25923964510813,-123.24994557059063
5512,"Beech, European 'Fastigiate'",Fagus,sylvatica,,fastigiata,,,,,G,,,,,49.260105773948546,-123.24705290235885
2103,"Beech, Purple",Fagus,sylvatica,,Atropunicea,,,,,,,Caution - Missing tag,,,49.272467441216584,-123.24964715397172
457,Sweet Gum,Liquidambar,styraciflua,,,,,,,G,,,,,49.26255522588664,-123.2388033386806
8950,,Acer,circinatum,20100316,,,,,,,,,,,49.26562893744349,-123.25818691524893
8961,,Acer,circinatum,20100316,,,,,,,,,,,49.26539694150722,-123.25779631607307
9077,,Thuja,plicata,20100316,,,,,,,,,,,49.26336966930313,-123.2568741449677
9072,,Thuja,plicata,20100316,,,,,,,,,,,49.26345877463094,-123.25686582606617
9063,,Thuja,plicata,20100316,,,,,,,,,,,49.26344952205762,-123.25698398705426
9039,,Thuja,plicata,20100316,,,,,,,,,,,49.26371367253983,-123.25703833760922
7159,Maple,Acer,,,,,,,,F,,,,,49.254751034983556,-123.24001674732884
7347,Maple,Acer,,,,,,,,G,,,,,49.259224375915025,-123.23965538698474
1775,Ash,Fraxinus,,,,,,,,P,,,,,49.269547600924064,-123.25417421635717
203,Ash,Fraxinus,,,,,,,,P,,,,,49.26802265017904,-123.25807357739039
9999184,,,,,,,,,,,,,,,49.27113382152173,-123.24804364289182
9662,,Cercis,canadensis,20100316,Forest pansy,,,,,,,,,,49.26731545928601,-123.2507421349257
9683,,Thuja,plicata,20100316,,,,,,,,,,,49.26897988619702,-123.25029108892554
9483,,Thuja,plicata,20100316,,,,,,,,,,,49.26559329317649,-123.25990322318783
9475,,Alnus,rubra,20100316,,,,,,,,,,,49.26552526763217,-123.26005439679443
9824,,Acer,griseum,20100316,,,,,,,,,,,49.27026925880951,-123.24853395513132
8974,,Acer,circinatum,20100316,,,,,,,,,,,49.265285665527095,-123.25642101831065
