TREEID,FAMILY,TAXA,COMMON_NAME,TAG,TAGID,LIVE_TREE,DBH,THEIGHT,HEIGHT_LIVETOP,HEIGHT_LIVEBASE,CROWNWIDTH1,CROWNWIDTH2,CANOPYMISSING,CROWN_LIGHTEXP,NUM_STEMS,TEAM,TREE_TYPE,DATE_MEASURE,TREE_ID_YR,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
5280,,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20190620215218
5294,,Acer circinatum,Vine Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20190620220036
4070,,Acer palmatum,Japanese Maple,Y,5584,Live,12,10.13,7.68,2.7,12.4,11,8,2,,11,,,,,PLAN,20190614175918,PLAN,20190620220226
3041,,Cercidiphyllum japonicum,Katsura-Tree,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190620220023
3959,,Prunus serrulata,Japanese Cherry,,,,,,,,,,,,,,,,,,PLAN,20190614175902,PLAN,20190620220151
5001,,Platanus x hispanica,London Plane,,,,,,,,,,,,,,,,,,PLAN,20190614175841,PLAN,20190620220103
3188,,Quercus palustris,Pin Oak,,,,,,,,,,,,,,,,,,PLAN,20190614175819,PLAN,20190620220009
3854,,Arbutus menziesii,Pacific Madrone,,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20190620220210
5174,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175811,PLAN,20190620215948
6600,,Stewartia pseudocamellia,Korean Stewartia,,,,,,,,,,,,,,,,,,PLAN,20190614175904,PLAN,20190620220340
3072,,Sequoiadendron giganteum,Giant-Sequoia,,,,,,,,,,,,,,,,,,PLAN,20190614175810,PLAN,20190620215958
5438,,Liriodendron tulipifera,Tulip-Poplar,,,,,,,,,,,,,,,,,,PLAN,20190614175859,PLAN,20190620220152
2998,,Acer palmatum,Japanese Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190620220022
5152,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190620215958
4198,,Magnolia,Magnolia,Y,7705,Live,12,5.28,4.62,0.51,4.8,4.4,10,3,,5,,,,,PLAN,20190614175919,PLAN,20190620220228
6445,,Acer palmatum,Japanese Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175900,PLAN,20190620220330
4431,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175829,PLAN,20190620220046
2213,,Liriodendron tulipifera,Tulip-Poplar,,,,,,,,,,,,,,,,,,PLAN,20190614175847,PLAN,20190620220111
6538,,Acer circinatum,Vine Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175850,PLAN,20190620220305
4921,,Prunus serrulata,Japanese Cherry,,,,,,,,,,,,,,,,,,PLAN,20190614175839,PLAN,20190620220059
3882,,Stewartia pseudocamellia,Korean Stewartia,,,,,,,,,,,,,,,,,,PLAN,20190614175901,PLAN,20190620220146
4475,,Pinus sylvestris,Scotch Pine,,,,,,,,,,,,,,,,,,PLAN,20190614175830,PLAN,20190620220339
5409,,Quercus garryana,Garry Oak,,,,,,,,,,,,,,,,,,PLAN,20190614175858,PLAN,20190620220312
5076,,Acer circinatum,Vine Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175830,PLAN,20190620220029
3853,,Acer circinatum,Vine Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20190620220210
4946,,Acer palmatum,Japanese Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175840,PLAN,20190620220100
3138,,Quercus palustris,Pin Oak,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190620220001
3877,,Fraxinus americana,American Ash,,,,,,,,,,,,,,,,,,PLAN,20190614175901,PLAN,20190620220144
2083,,Quercus rubra,Northern Red Oak,N,,Live,13,9.63,9.63,2.6,6.57,5.59,25,5,,9,,,,,PLAN,20190614175924,PLAN,20190620220246
5457,,Liriodendron tulipifera,Tulip-Poplar,,,,,,,,,,,,,,,,,,PLAN,20190614175859,PLAN,20190620220153
4848,,Pinus strobus,Weymouth Pine,,,,,,,,,,,,,,,,,,PLAN,20190614175838,PLAN,20190620220053
2785,,Prunus serrulata,Japanese Cherry,,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20190620220122
3894,,Cornus kousa,Japanese Dogwood,,,,,,,,,,,,,,,,,,PLAN,20190614175901,PLAN,20190620220148
4952,,Liquidambar styraciflua,Alligator-Wood,,,,,,,,,,,,,,,,,,PLAN,20190614175840,PLAN,20190620220311
4398,,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,,PLAN,20190614175829,PLAN,20190620215220
3163,,Quercus palustris,Pin Oak,,,,,,,,,,,,,,,,,,PLAN,20190614175819,PLAN,20190620220004
2155,,Aesculus x carnea 'Rosea',,N,,Live,6,3.75,2.09,1.6600000000000001,3.1,2.6,5,4,,8,,,,,PLAN,20190614175920,PLAN,20190620211309
2851,,Acer rubrum,Red Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175847,PLAN,20190620220108
6154,,Quercus palustris,Pin Oak,,,,,,,,,,,,,,,,,,PLAN,20190614175900,PLAN,20190620220201
4303,,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20190620215250
6595,,Tilia americana,,,,,,,,,,,,,,,,,,,PLAN,20190614175903,PLAN,20190620215249
4320,,Cotinus coggygria,Fustet,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20190620220212
5249,,Arbutus menziesii,Pacific Madrone,,,,,,,,,,,,,,,,,,PLAN,20190614175833,PLAN,20190620220039
5420,,Hamamelis,Witch-Hazel,,,,,,,,,,,,,,,,,,PLAN,20190614175858,PLAN,20190620220123
4996,,Platanus x hispanica,London Plane,,,,,,,,,,,,,,,,,,PLAN,20190614175841,PLAN,20190620220102
6426,,Tsuga heterophylla,Pacific Hemlock,,,,,,,,,,,,,,,,,,PLAN,20190614175900,PLAN,20190620220140
4972,,Pinus nigra,Black Pine,,,,,,,,,,,,,,,,,,PLAN,20190614175840,PLAN,20190620220328
5054,,Acer circinatum,Vine Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175830,PLAN,20190620220323
3075,,Quercus robur,Pedunculate Oak,,,,,,,,,,,,,,,,,,PLAN,20190614175810,PLAN,20190620215958
7051,,Pseudotsuga menziesii,Douglas-Fir,,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20190620220304
5287,,Abies grandis,Grand Fir,,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20190620220035
4476,,Pinus sylvestris,Scotch Pine,,,,,,,,,,,,,,,,,,PLAN,20190614175830,PLAN,20190620220310
6557,,Platanus x hispanica,London Plane,,,,,,,,,,,,,,,,,,PLAN,20190614175900,PLAN,20190620220142
6113,,Quercus palustris,Pin Oak,,,,,,,,,,,,,,,,,,PLAN,20190614175859,PLAN,20190620220158
3847,,Acer palmatum,Japanese Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20190620220209
4450,,Pinus nigra,Black Pine,Y,,Live,65,19.32,19.32,1.9000000000000001,14.58,14.93,5,3,,9,,,,,PLAN,20190614175919,PLAN,20190620220238
5103,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175831,PLAN,20190620220031
3321,,Cedrus atlantica,Atlantic Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175906,PLAN,20190620220149
4326,,Quercus garryana,Garry Oak,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20190620220213
2137,,Aesculus x carnea 'Rosea',,N,,Live,7,3.7800000000000002,2.08,1.7,2.7,2.2,5,4,,8,,,,,PLAN,20190614175931,PLAN,20190620211310
3177,,Quercus palustris,Pin Oak,,,,,,,,,,,,,,,,,,PLAN,20190614175819,PLAN,20190620220007
